RootName,SBE_Utterance_Analysis,AAVE_Utterance_Analysis,AAVE_Utterance_BML,AAVE_Utterance_Phonetics,SBE_wav_name,SBE_wav,AAVE_wav_name,AAVE_wav,NeutralDistinct,AAVEFeatures,Phono,TaskIntro,Monologue,MonologueNumber,Gesture,args,aae_args,Feedback: test,AT: test,Social: test,Task Intro: test,Prepping for presentation: test,Presentation Mode: test,Social Talk: test,Accountable Talk: test,On-task Sentences: test,Dialect Use: test,Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,Hi,,Hi,,,,,,,,,,,,Alex_Hi,"start=""sp1:start"" end=""sp1:start+3""/><face type='FACS' au='2' amount='0.25' stroke='sp1:start' end='sp1:start+.5'","start=""sp1:start"" end=""sp1:start+3""/><face type='FACS' au='2' amount='0.25' stroke='sp1:start' end='sp1:start+.5'",,,,,,,1,,,,Feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2,I'm Alex,,I'm Alex,,,,,,,,,,,,Alex_Im_Alex,"start=""sp1:start"" end=""sp1:start+1.2""/><face type='FACS' au='2' amount='0.25' stroke='sp1:start+0' end='sp1:start+1'","start=""sp1:start"" end=""sp1:start+1""/><face type='FACS' au='2' amount='0.25' stroke='sp1:start+0' end='sp1:start+1'",,,,,,,1,,,,Feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3,I'm in second grade,,I'm in second grade,,,,,,,,,,,,Alex_Im_in_fifth_grade,"start=""sp1:start"" end=""sp1:start+2""","start=""sp1:start"" end=""sp1:start+2""",,,,,,,1,,,,Feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G4,I'm in third grade,,I'm in fird grade,,,,,,,,,,,,Alex_Im_in_third_grade,"start=""sp1:start"" end=""sp1:start+1.4""","start=""sp1:start"" end=""sp1:start+1.3""",,,,,,,1,,,,Feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G5,I'm in fourth grade,,I'm in fourf grade,,,,,,,,,,,,Alex_Im_in_fifth_grade,"start=""sp1:start"" end=""sp1:start+1.4""","start=""sp1:start"" end=""sp1:start+1.9""",,,,,,,1,,,,Feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G6,I'm in fifth grade,,I'm in fif' grade,,,,,,,,,,,,Alex_Im_in_fifth_grade,"start=""sp1:start"" end=""sp1:start+1.5""","start=""sp1:start"" end=""sp1:start+1.8""",,,,,,,1,,,,Feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G7,I'm in sixth grade,,I'm in six grade,,,,,,,,,,,,Alex_Im_in_third_grade,"start=""sp1:start"" end=""sp1:start+1.7""","start=""sp1:start"" end=""sp1:start+1.7""",,,,,,,1,,,,Feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G8,"I'm not real, remember?",,"I ain't real, remember?",,,,,,,,,,,,Alex_Oh_why_curious,,,,,,,,,1,,,,Feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G9,I'm a girl,,I'm a girl,,,,,,,,,,,,Alex_Im_Alex,"start=""sp1:start"" end=""sp1:start+1.8""/><face type='FACS' au='2' amount='0.25' stroke='sp1:start+0' end='sp1:start+1'","start=""sp1:start"" end=""sp1:start+1.2""/><face type='FACS' au='2' amount='0.25' stroke='sp1:start+0' end='sp1:start+1'",,,,,,,1,,,,Feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G10,I'm a boy,,I'm a boy,,,,,,,,,,,,Alex_Im_Alex,"start=""sp1:start"" end=""sp1:start+1.6""/><face type='FACS' au='2' amount='0.25' stroke='sp1:start+0' end='sp1:start+1'","start=""sp1:start"" end=""sp1:start+1""/><face type='FACS' au='2' amount='0.25' stroke='sp1:start+0' end='sp1:start+1'",,,,,,,1,,,,Feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
